t-SNE 1,t-SNE 2,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,Kmeans,AgglomerativeClustering,Birch,BisectingKMeans,AffinityPropagation,HDBSCAN,SpectralClustering,DBSCAN
13.140708,20.086927,0,0,1,1,1,0,1,0,4,3,0,2,6,-1,0,-1
2.3661456,-14.48136,1,1,1,1,1,0,1,0,2,2,0,6,6,151,0,-1
3.5996554,-14.220172,0,1,1,1,1,0,1,0,2,2,0,4,6,151,0,-1
2.229523,-14.666708,1,1,1,1,0,0,0,0,2,2,0,2,6,151,0,-1
2.1761928,-14.616991,0,1,1,1,0,0,1,0,2,2,0,2,6,151,0,-1
2.195319,-14.608519,1,1,1,1,0,0,0,0,2,2,0,2,6,151,0,-1
2.2224047,-14.525341,0,1,1,1,1,0,1,0,2,2,0,6,6,151,0,-1
13.444292,19.88239,1,0,1,1,0,0,0,0,2,3,0,3,6,-1,0,-1
13.466564,19.906992,1,1,1,1,1,0,1,1,2,3,0,3,6,-1,0,-1
13.486516,19.928486,0,1,1,1,1,1,1,0,4,3,0,3,6,-1,0,-1
2.577705,-15.624028,1,1,1,1,1,0,1,0,4,2,0,2,6,151,0,-1
3.5359256,-16.175814,0,1,1,1,1,0,1,0,4,2,0,2,6,-1,0,-1
2.4185371,-16.213024,1,1,1,1,1,0,1,0,4,2,0,2,6,151,0,-1
2.4880266,-15.481459,0,1,1,1,0,0,0,0,2,2,0,2,6,151,0,-1
0.890754,-15.08088,1,1,1,1,1,0,1,0,4,2,0,2,6,151,0,-1
1.2493863,-14.783259,0,0,1,0,0,0,0,0,4,2,0,6,6,151,0,-1
1.4564431,-15.626319,0,1,1,1,1,0,1,0,4,2,0,2,6,151,0,-1
16.842812,-11.733483,1,1,1,1,0,0,0,0,3,2,0,4,8,-1,0,-1
1.4126885,-21.56248,1,1,1,1,1,0,1,1,4,1,0,7,74,-1,0,-1
18.316118,-31.135721,0,0,1,1,1,0,1,0,4,1,0,2,24,-1,0,-1
2.5657542,-20.451452,1,1,1,1,1,0,1,0,4,2,0,2,69,-1,0,-1
1.9618866,-20.539244,1,1,1,1,1,0,1,0,4,2,0,2,6,-1,0,-1
-1.5293739,-20.465881,0,1,1,1,1,0,1,0,4,1,0,2,116,153,0,-1
-2.0440009,-20.53514,0,0,1,0,0,0,0,0,4,1,0,2,116,-1,0,-1
13.413795,-14.117976,0,1,1,1,1,0,1,0,3,2,0,4,8,-1,0,-1
14.169267,-16.544167,1,1,1,1,1,0,1,0,4,2,0,2,24,-1,0,-1
-9.827983,-25.832113,0,1,1,1,0,0,1,0,4,1,0,7,39,-1,0,-1
18.20291,-31.308163,0,0,1,0,1,0,1,0,4,1,0,2,69,-1,0,-1
-0.6940455,-36.279144,0,1,1,1,1,0,1,0,4,1,0,2,40,-1,0,-1
-8.892406,-24.807453,1,1,1,1,1,0,1,0,4,1,0,2,21,-1,0,-1
-8.72841,-23.579655,1,1,1,1,1,0,1,0,4,1,0,2,129,-1,0,-1
-10.554,-23.054457,0,1,1,1,0,0,0,0,4,1,0,7,129,-1,0,-1
-9.403304,-25.559944,1,1,1,1,1,0,1,0,4,1,0,7,39,-1,0,-1
6.462079,-13.314626,1,1,1,1,0,0,1,0,4,2,0,2,8,-1,0,-1
6.5239983,-13.249994,0,1,1,1,0,0,1,0,2,2,0,2,6,-1,0,-1
4.4871492,-22.291803,0,1,1,1,1,0,1,0,4,2,0,2,7,148,0,-1
-8.228192,-21.249971,0,0,1,0,0,1,1,0,4,1,0,7,129,153,0,-1
13.534965,-12.90489,1,1,1,1,1,0,1,0,3,2,0,4,8,135,0,-1
12.107386,-12.350556,0,1,1,1,0,0,1,0,2,2,0,4,8,135,0,-1
7.8116727,-20.881468,0,0,1,1,1,0,1,0,3,2,0,4,7,-1,0,-1
-12.661777,-0.36994982,1,1,1,1,0,0,0,0,2,1,0,6,100,-1,0,-1
-1.4351288,-7.9431605,0,1,1,1,0,0,0,0,4,2,0,7,9,-1,0,-1
-16.416315,-23.919685,1,0,1,1,0,1,1,1,5,4,0,7,42,-1,0,-1
-24.043192,5.490725,1,1,1,1,0,0,0,0,2,2,0,6,4,-1,0,-1
-23.362152,16.151493,0,0,0,1,0,0,0,1,2,2,0,6,115,-1,0,-1
-23.34878,16.113441,1,1,1,1,1,0,1,0,2,2,0,6,107,-1,0,-1
-24.073906,5.5475082,1,1,1,1,1,0,1,0,2,2,0,6,107,-1,0,-1
1.3569003,-8.441591,1,1,1,1,0,1,1,0,2,2,0,4,10,71,0,-1
-10.652402,-19.791296,1,1,1,1,1,0,1,0,4,2,0,7,6,-1,0,-1
1.970029,-9.576052,1,1,1,1,1,1,1,0,2,2,0,2,10,71,0,-1
2.48972,-9.748249,1,1,1,1,1,0,1,0,2,2,0,4,10,71,0,-1
2.1968236,-9.608559,1,1,1,1,1,0,1,1,2,2,0,4,10,71,0,-1
1.3371106,-8.959137,1,1,1,1,1,0,1,0,2,2,0,4,10,71,0,-1
1.1990921,-8.853065,1,1,1,1,1,1,1,1,2,2,0,6,10,71,0,-1
14.95646,-28.790659,1,1,1,1,1,0,1,0,4,1,0,2,65,-1,0,-1
-2.5806391,1.231324,0,0,1,1,0,0,0,0,2,2,0,6,161,-1,0,-1
15.113456,-28.287683,0,1,1,1,1,0,1,0,4,1,0,2,120,-1,0,-1
