standardized_smiles,CAS-Id,fcfp_compact,fcfp_environments,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36
CCCCCC(=O)OCC,106-70-7/123-66-0,4P///wAEAAAOAAAAAAJ0GQOWEoCsoKgaChr1AA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0]], ""2"": [[6, 0], [7, 0]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""1051266860"": [[7, 2]], ""2123333315"": [[5, 2]], ""2558574980"": [[8, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1], [9, 1]], ""3205496824"": [[6, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Fresh,Fruity,Beverage,Non-citrus fruity,Other,Waxy,Chemical,Estery,Green,Nature,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCC(C)C,105-79-3,4P///wAEAAAQAAAAAAJ0aQLuEoCsIgxuqBoKGvUADg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""2"": [[6, 0], [7, 0]], ""174871896"": [[8, 2]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""614176388"": [[9, 1]], ""894540427"": [[9, 2]], ""1051266860"": [[7, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1], [10, 1], [11, 1]], ""3205496824"": [[6, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Fruity,Caramel,Non-citrus fruity,Estery,Green,Nature,Chocolate,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCC(C)CC,2601-13-0,4P///wAEAAARAAAAAAJ0aQKOXhKAIIoifKgaChr1AA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0]], ""2"": [[6, 0], [7, 0]], ""174871896"": [[8, 2]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""614176388"": [[9, 1]], ""671173024"": [[11, 2]], ""1051266860"": [[7, 2]], ""2110140972"": [[9, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1], [10, 1], [12, 1]], ""3205496824"": [[6, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [11, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Chemical,Hydrocar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCC(C)O,39556-41-7,4P///wAEAAARAAAAAAIAcoEDYhKArEhWqBoKGvUAAAw=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0]], ""2"": [[6, 0], [7, 0]], ""3"": [[11, 0]], ""174870528"": [[8, 2]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""614176407"": [[9, 1]], ""1051266860"": [[7, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1], [10, 1]], ""3205496824"": [[6, 1]], ""3205496825"": [[11, 1]], ""3367842206"": [[9, 2]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Fruity,Chemical,Green,Nature,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCC=C(C)C,76649-22-4,4P///wAEAAARAAAAAAJ0SQQSPEKsBJoofhoKGjx5AA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0]], ""2"": [[6, 0], [7, 0]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""614176451"": [[10, 1]], ""1051266860"": [[7, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""2795076312"": [[9, 2]], ""3205495869"": [[0, 1], [11, 1], [12, 1]], ""3205496824"": [[6, 1]], ""3210382965"": [[10, 2]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3766532902"": [[8, 1]], ""3766532953"": [[9, 1]], ""3768571706"": [[7, 1]], ""4196735481"": [[8, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Dairy,Fruity,Green,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCC=C(C)CCC=C(C)C,10032-02-7,4P///wAEAAAVAAAAAAJ0tQFyBM4SPEKsBJoofhoKGjx4wg4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0]], ""2"": [[6, 0], [7, 0]], ""193923546"": [[4, 2]], ""193987944"": [[12, 2]], ""614173298"": [[5, 1]], ""614176451"": [[10, 1], [15, 1]], ""1051266860"": [[7, 2]], ""2059618198"": [[10, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""2794852651"": [[14, 2]], ""2795076312"": [[9, 2]], ""3205495869"": [[0, 1], [11, 1], [16, 1], [17, 1]], ""3205496824"": [[6, 1]], ""3210382965"": [[15, 2]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [12, 1], [13, 1]], ""3766532902"": [[8, 1]], ""3766532953"": [[9, 1], [14, 1]], ""3768571706"": [[7, 1]], ""4196735481"": [[8, 2]], ""4203102565"": [[13, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Floral,Aromatic,Sweet,Vegetation,Fruity,Waxy,Nature,Resinous,Herbaceous,Woody,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCC=Cc1ccccc1,6994-20-3,4P///wAEAAAXAAAAAAICcAz1AlJGEjw0DHQ2oGw6GgoaPB0ALA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0]], ""2"": [[6, 0], [7, 0]], ""4"": [[11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0]], ""193923546"": [[4, 2]], ""594405804"": [[11, 1]], ""614173298"": [[5, 1]], ""1051266860"": [[7, 2]], ""1230563926"": [[13, 2], [14, 2], [15, 2]], ""1788393210"": [[10, 2]], ""1912436098"": [[11, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1]], ""3205496824"": [[6, 1]], ""3532240404"": [[12, 2], [16, 2]], ""3764344801"": [[12, 1], [13, 1], [14, 1], [15, 1], [16, 1]], ""3766522948"": [[10, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3766532902"": [[8, 1]], ""3766532953"": [[9, 1]], ""3768571706"": [[7, 1]], ""4196735481"": [[8, 2]], ""4203103696"": [[2, 2], [3, 2]], ""4203510617"": [[9, 2]]}",Spices,Food,Sweet,Fruity,Nature,Green,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCCC,626-77-7,4P///wAEAAAPAAAAAAJ0SQQSgAqgLHKoGgoa9QAO,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0]], ""2"": [[6, 0], [7, 0]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""1051266860"": [[7, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""2602795657"": [[9, 2]], ""3205495869"": [[0, 1], [10, 1]], ""3205496824"": [[6, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [9, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4196921889"": [[8, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Dairy,Fruity,Beverage,Non-citrus fruity,Green,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCCC(C)C,2198-61-0,4P///wAEAAARAAAAAAJ0SQQSgAqgInwKlgQaChr1AA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0]], ""2"": [[6, 0], [7, 0]], ""193923546"": [[4, 2]], ""193989321"": [[9, 2]], ""614173298"": [[5, 1]], ""614176388"": [[10, 1]], ""894540565"": [[10, 2]], ""1051266860"": [[7, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1], [11, 1], [12, 1]], ""3205496824"": [[6, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [9, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4196921889"": [[8, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Lemon,Pungent,Dairy,Fruity,Sharp,Sweet,Non-citrus fruity,Sickening,Green,Nature,Nose Feel,Foul,Fragrant,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCCC(C)CCC=C(C)C,10580-25-3,4P///wAEAAAWAAAAAAJ0tQFyKqgSBngKoAQcfAqcGgoaPHkADg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0]], ""2"": [[6, 0], [7, 0]], ""193923546"": [[4, 2]], ""193989321"": [[9, 2]], ""193992059"": [[12, 2]], ""614173298"": [[5, 1]], ""614176388"": [[10, 1]], ""614176451"": [[15, 1]], ""1051266860"": [[7, 2]], ""2110141918"": [[10, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""2794852651"": [[14, 2]], ""3205495869"": [[0, 1], [11, 1], [16, 1], [17, 1]], ""3205496824"": [[6, 1]], ""3210382965"": [[15, 2]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [9, 1], [12, 1], [13, 1]], ""3766532902"": [[8, 1]], ""3766532953"": [[14, 1]], ""3768571706"": [[7, 1]], ""4196921889"": [[8, 2]], ""4203102565"": [[13, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Floral,Sweet,Fruity,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCCC(S)CCC,136954-22-8,4P///wAEAAAUAAAAAAIAcgUDoBKACiJ8SFaoGgoalOQADA==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0], [12, 0], [13, 0], [14, 0]], ""2"": [[6, 0], [7, 0]], ""3"": [[11, 0]], ""193923546"": [[4, 2]], ""193992243"": [[12, 2]], ""193992581"": [[9, 2]], ""614173298"": [[5, 1]], ""614176407"": [[10, 1]], ""1051266860"": [[7, 2]], ""2068418943"": [[10, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2], [13, 2]], ""3205495869"": [[0, 1], [14, 1]], ""3205496824"": [[6, 1]], ""3205496825"": [[11, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [9, 1], [12, 1], [13, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4196921889"": [[8, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Fruity,Sulp,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Nature,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCCCC,626-82-4,4P///wAEAAAPAAAAAAJ0SQQSgAoIlqCoGgoa9QAO,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""2"": [[6, 0], [7, 0]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""1051266860"": [[7, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2], [10, 2]], ""3205495869"": [[0, 1], [11, 1]], ""3205496824"": [[6, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [9, 1], [10, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4196921889"": [[8, 2]], ""4203102758"": [[9, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Fruity,Beverage,Non-citrus fruity,Waxy,Nature,Green,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCCCc1ccccc1,6281-40-9,4P///wAEAAAXAAAAAAICcM0BOLpGBgpyDApoNqCoFgIKGpkALA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0]], ""2"": [[6, 0], [7, 0]], ""4"": [[11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0]], ""193923546"": [[4, 2]], ""272446798"": [[10, 2]], ""594405804"": [[11, 1]], ""614173298"": [[5, 1]], ""1051266860"": [[7, 2]], ""1230563926"": [[13, 2], [14, 2], [15, 2]], ""1327368660"": [[11, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1]], ""3205496824"": [[6, 1]], ""3532240404"": [[12, 2], [16, 2]], ""3764344801"": [[12, 1], [13, 1], [14, 1], [15, 1], [16, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [9, 1]], ""3766532900"": [[10, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4196921889"": [[8, 2]], ""4203100465"": [[9, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Fruity,Green,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCCc1ccccc1,6290-37-5,4P///wAEAAAWAAAAAAICcIkBLQBGBgpyDHQ2oCh+FgIKGpkALA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0]], ""2"": [[6, 0], [7, 0]], ""4"": [[10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0]], ""193923546"": [[4, 2]], ""272448216"": [[9, 2]], ""594405804"": [[10, 1]], ""614173298"": [[5, 1]], ""1051266860"": [[7, 2]], ""1230563926"": [[12, 2], [13, 2], [14, 2]], ""1327368660"": [[10, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1]], ""3205496824"": [[6, 1]], ""3532240404"": [[11, 2], [15, 2]], ""3764344801"": [[11, 1], [12, 1], [13, 1], [14, 1], [15, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3766532900"": [[9, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4196918560"": [[8, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Floral,Pungent,Sweet,Rancid,Fruity,Putrid,Caramel,Sharp,Non-citrus fruity,Waxy,Green,Nature,Resinous,Microbiological,Grassy,Woody,Fragrant,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCCc1scnc1C,94159-32-7,4P///wAEAAAdAAAAAAICAmyKerwtAAwMKhKAPCZGTlAofhYCChqIwioADg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [15, 0]], ""2"": [[6, 0], [7, 0]], ""4"": [[10, 0], [11, 0], [12, 0], [14, 0]], ""6"": [[13, 0]], ""193923546"": [[4, 2]], ""272448216"": [[9, 2]], ""594405804"": [[10, 1]], ""594405818"": [[14, 1]], ""614173298"": [[5, 1]], ""1051266860"": [[7, 2]], ""1251070542"": [[12, 2]], ""2123333315"": [[5, 2]], ""2370290099"": [[10, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1]], ""3205496001"": [[15, 1]], ""3205496824"": [[6, 1]], ""3514530458"": [[13, 2]], ""3532240442"": [[11, 2]], ""3764335747"": [[13, 1]], ""3764344801"": [[11, 1]], ""3764344823"": [[12, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3766532900"": [[9, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""3982369663"": [[14, 2]], ""4196918560"": [[8, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Nutty,Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCSC,74758-91-1,4P///wAEAAAQAAAAAAJ0gnoK+jkAEoCsoKhCHLkADg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [10, 0]], ""2"": [[6, 0], [7, 0], [9, 0]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""1051219265"": [[7, 2]], ""1925116745"": [[9, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1]], ""3205496003"": [[10, 1]], ""3205496824"": [[6, 1]], ""3766523007"": [[8, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3768571706"": [[7, 1], [9, 1]], ""4102540477"": [[8, 2]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Fruity,Non-citrus fruity,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCc1ccccc1,6938-45-0,4P///wAEAAAUAAAAAAICODZ2AQEQ0EYScgx0NqCoQpkALA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0]], ""2"": [[6, 0], [7, 0]], ""4"": [[9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0]], ""193923546"": [[4, 2]], ""594405804"": [[9, 1]], ""614173298"": [[5, 1]], ""1051219267"": [[7, 2]], ""1230563926"": [[11, 2], [12, 2], [13, 2]], ""1780633914"": [[8, 2]], ""1910602785"": [[9, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1]], ""3205496824"": [[6, 1]], ""3532240404"": [[10, 2], [14, 2]], ""3764344801"": [[10, 1], [11, 1], [12, 1], [13, 1], [14, 1]], ""3766523001"": [[8, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3768571706"": [[7, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Floral,Sweet,Fruity,Green,Nature,Dry fruit,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)OCc1ccco1,39252-02-3,4P///wAEAAAZAAAAAAICAmx2Ev0A7CoSgGRGHi5QKH5CyixSKgAO,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0]], ""2"": [[6, 0], [7, 0]], ""4"": [[9, 0], [10, 0], [11, 0], [12, 0]], ""6"": [[13, 0]], ""193923546"": [[4, 2]], ""594405818"": [[9, 1]], ""614173298"": [[5, 1]], ""1051219267"": [[7, 2]], ""1230564256"": [[11, 2]], ""1251070542"": [[12, 2]], ""1309816536"": [[9, 2]], ""1780635575"": [[8, 2]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1]], ""3205496824"": [[6, 1]], ""3514530458"": [[13, 2]], ""3532241538"": [[10, 2]], ""3764335747"": [[13, 1]], ""3764344801"": [[10, 1], [11, 1]], ""3764344823"": [[12, 1]], ""3766523001"": [[8, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3768571706"": [[7, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Mol,Musty,Pungent,Sharp,Fruity,Waxy,Green,Earthy,Resinous,Woody,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)SC,2432-77-1,4P///wAEAAANAAAAAAJ0FQBFAXQSgKygqEL1AA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0]], ""2"": [[6, 0], [7, 0]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""2123333315"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1]], ""3205496003"": [[8, 1]], ""3205496824"": [[6, 1]], ""3677801877"": [[7, 2]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3768571706"": [[7, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Floral,Pungent,Sweet,Rancid,Dairy,Fruity,Putrid,Sharp,Cabbage,Sulphur,Chemical,Green,Nature,Fishy,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)c1ccco1,14360-50-0,4P///wAEAAAVAAAAAAICAmyKsQA22iqUNC5mLvodAIAcDAAO,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0]], ""2"": [[6, 0]], ""4"": [[7, 0], [8, 0], [9, 0], [10, 0]], ""6"": [[11, 0]], ""193868342"": [[4, 2]], ""594405818"": [[7, 1]], ""614173680"": [[5, 1]], ""1230564256"": [[9, 2]], ""1251070542"": [[10, 2]], ""1999153456"": [[5, 2]], ""2602795547"": [[1, 2]], ""2616939852"": [[7, 2]], ""3205495869"": [[0, 1]], ""3205496824"": [[6, 1]], ""3514530458"": [[11, 2]], ""3532241538"": [[8, 2]], ""3764335747"": [[11, 1]], ""3764344801"": [[8, 1], [9, 1]], ""3764344823"": [[10, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Fruity,Chemical,Green,Nature,Dry fruit,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=S)OCC,233665-98-0,4P///wAEAAAOAAAAAAJ0GQOWEoCsoKgaChr1AA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0]], ""2"": [[6, 0], [7, 0]], ""193923546"": [[4, 2]], ""614173298"": [[5, 1]], ""1051266860"": [[7, 2]], ""2123333315"": [[5, 2]], ""2558574980"": [[8, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1], [9, 1]], ""3205496824"": [[6, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""3766532902"": [[8, 1]], ""3768571706"": [[7, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Sweet,Fruity,Sulp,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Green,Nature,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(C)(O)CC(C)C,74356-31-3,4P///wAEAAANAAAAAARaFkkEOljQAQAeBPDODA==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""3"": [[7, 0]], ""25352965"": [[5, 2]], ""614176388"": [[9, 1]], ""684899217"": [[8, 2]], ""894540565"": [[9, 2]], ""2407446577"": [[4, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1], [6, 1], [10, 1], [11, 1]], ""3205496825"": [[7, 1]], ""3208849902"": [[5, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [8, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Nature,Sweet,Fruity,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(C)=O,110-43-0,4P///wAEAAAKAAAAAAJ0mQAdAMaUtQCcfQEO,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0]], ""2"": [[7, 0]], ""193987812"": [[4, 2]], ""614176457"": [[5, 1]], ""1699286380"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495869"": [[0, 1], [6, 1]], ""3205496824"": [[7, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Spices,Aromatic,Food,Sweet,Dairy,Fruity,Vegetation,Non-citrus fruity,Chemical,Green,Nature,Resinous,Grassy,Herbaceous,Hydrocar,Woody,Fragrant,,,,,,,,,,,,,,,,,,,
CCCCCC(C)C(=O)O,1188-02-9,4P///wAEAAAPAAAAAAAAKg44fQLkRE7meixmFQDC,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0]], ""1"": [[9, 0]], ""2"": [[8, 0]], ""32"": [[7, 0]], ""194014707"": [[4, 2]], ""253142733"": [[7, 2]], ""605976925"": [[7, 1]], ""614176484"": [[5, 1]], ""2602795547"": [[1, 2]], ""2782146191"": [[5, 2]], ""3205495832"": [[8, 1]], ""3205495869"": [[0, 1], [6, 1]], ""3205496734"": [[9, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Pungent,Dairy,Fruity,Rancid,Caramel,Putrid,Sharp,Waxy,Bakery,Green,Microbiological,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(C)C(=O)[O-],CAS-3,4P///wAEAAAOAAAAAAIqDjjVAzhETgEAjmZoRQBA,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0]], ""2"": [[8, 0], [9, 0]], ""32"": [[7, 0]], ""194014707"": [[4, 2]], ""605977244"": [[7, 1]], ""614176484"": [[5, 1]], ""2602795547"": [[1, 2]], ""2780951987"": [[5, 2]], ""3205495832"": [[8, 1]], ""3205495869"": [[0, 1], [6, 1]], ""3205496799"": [[9, 1]], ""3238624077"": [[7, 2]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Pungent,Dairy,Fruity,Rancid,Putrid,Sharp,Waxy,Green,Microbiological,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(C)CCC(=O)O,45019-28-1,4P///wAEAAASAAAAAAAAKg44EQIwAjoKnBp40E0AFQAyjg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0]], ""1"": [[11, 0]], ""2"": [[10, 0]], ""32"": [[9, 0]], ""193988955"": [[7, 2]], ""193992059"": [[4, 2]], ""209048961"": [[8, 2]], ""605976925"": [[9, 1]], ""614176388"": [[5, 1]], ""1714334018"": [[9, 2]], ""2110141918"": [[5, 2]], ""2602795547"": [[1, 2]], ""3205495832"": [[10, 1]], ""3205495869"": [[0, 1], [6, 1]], ""3205496734"": [[11, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [7, 1]], ""3766533048"": [[8, 1]], ""4203103696"": [[2, 2], [3, 2]]}",Restaurant,Food,Non-vegetarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
