standardized_smiles,CAS-Id,fcfp_compact,fcfp_environments,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36
C1CSCSC1,505-23-7,4P///wAEAAAKAAAAAAL4eqUCci0A1BomFQE=,"{""0"": [[0, 0], [1, 0], [3, 0], [5, 0]], ""2"": [[2, 0], [4, 0]], ""1090821607"": [[2, 2], [4, 2]], ""3766523007"": [[3, 1]], ""3766532888"": [[0, 1]], ""3766532902"": [[1, 1], [5, 1]], ""3768571706"": [[2, 1], [4, 1]], ""4102540477"": [[3, 2]], ""4196921889"": [[1, 2], [5, 2]], ""4203101869"": [[0, 2]]}",Bakery,Alliaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1SCSS1,289-16-7,4P///wAEAAAIAAAAAAIO6J0AUKUFJQB2,"{""0"": [[0, 0], [2, 0]], ""2"": [[1, 0], [3, 0], [4, 0]], ""1090875402"": [[1, 2]], ""1095986512"": [[4, 2], [3, 2]], ""3766523007"": [[2, 1], [0, 1]], ""3768571706"": [[1, 1]], ""3768571844"": [[3, 1], [4, 1]], ""4102533415"": [[2, 2], [0, 2]]}",Sulp,Restaurant,Septic,Cabbage,Marshy,Vegetables,Non-vegetarian,Sulphur,Chemical,Sickening,Bakery,Earthy,Nature,Hydrocar,Alliaceous,,,,,,,,,,,,,,,,,,,,,
C1SSCSSS1,292-46-6,4P///wAEAAAJAAAAAAI4eh4iQQFNAX0Edg==,"{""0"": [[0, 0], [3, 0]], ""2"": [[1, 0], [2, 0], [4, 0], [5, 0], [6, 0]], ""1095986512"": [[2, 2], [1, 2]], ""1122857069"": [[4, 2], [6, 2]], ""3766523007"": [[3, 1], [0, 1]], ""3766531165"": [[5, 1]], ""3768571844"": [[1, 1], [2, 1], [4, 1], [6, 1]], ""4071694884"": [[5, 2]], ""4103021599"": [[3, 2], [0, 2]]}",Earthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C(C)C(C)O)C(C)C(C)(C)C,81787-06-6,4P///wAEAAAOAAAAAAQQYHj5AfL4JiRWeQGoAgw=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0]], ""3"": [[6, 0]], ""614176388"": [[2, 1], [7, 1]], ""614176407"": [[4, 1]], ""614176451"": [[1, 1]], ""968722444"": [[9, 2]], ""2353406576"": [[4, 2]], ""2395275255"": [[7, 2]], ""3205495869"": [[3, 1], [5, 1], [8, 1], [10, 1], [11, 1], [12, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[6, 1]], ""3208849907"": [[9, 1]], ""4112587129"": [[1, 2]], ""4197307298"": [[2, 2]]}",Clean,Mossy woods,Soft oriental,Resinous,Grassy,Dry,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(=O)OC,80-62-6,4P///wAEAAAMAAAAAAJcFniQRrUAcQGg7PUADg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [6, 0]], ""2"": [[4, 0], [5, 0]], ""319443175"": [[3, 2]], ""614173298"": [[3, 1]], ""614176451"": [[1, 1]], ""2372740145"": [[1, 2]], ""3205495869"": [[2, 1]], ""3205495930"": [[0, 1]], ""3205496003"": [[6, 1]], ""3205496824"": [[4, 1]], ""3677801877"": [[5, 2]], ""3768571706"": [[5, 1]]}",Aromatic,Minty,Sweet,Fruity,Non-citrus fruity,Synthetic,Nature,Resinous,Woody,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(=O)OCC,97-63-2,4P///wAEAAANAAAAAAJcFnjYcQC1AaDEChr1AA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [6, 0], [7, 0]], ""2"": [[4, 0], [5, 0]], ""319443175"": [[3, 2]], ""614173298"": [[3, 1]], ""614176451"": [[1, 1]], ""1051266860"": [[5, 2]], ""2372740145"": [[1, 2]], ""2558574980"": [[6, 2]], ""3205495869"": [[2, 1], [7, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[4, 1]], ""3766532902"": [[6, 1]], ""3768571706"": [[5, 1]]}",Floral,Pungent,Sharp,Fruity,Synthetic,Sickening,Nose Feel,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CC(=O)O)CC(=O)O,6839-75-4,4P///wAEAAAQAAAAAAAAFBQOOHgdATTU2pp8aQEyjg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [8, 0]], ""1"": [[7, 0], [11, 0]], ""2"": [[6, 0], [10, 0]], ""32"": [[5, 0], [9, 0]], ""605976925"": [[5, 1], [9, 1]], ""614176388"": [[3, 1]], ""614176451"": [[1, 1]], ""1016734152"": [[3, 2]], ""1212801037"": [[4, 2], [8, 2]], ""1714334018"": [[5, 2], [9, 2]], ""2208667190"": [[1, 2]], ""3205495832"": [[6, 1], [10, 1]], ""3205495869"": [[2, 1]], ""3205495930"": [[0, 1]], ""3205496734"": [[7, 1], [11, 1]], ""3766533048"": [[4, 1], [8, 1]]}",Salty,Bakery,Cooked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CCC(C)=O)CC(=O)O,4436-82-2,4P///wAEAAAWAAAAAAAAFBQOOHjSFqI0HBzpAJp8CpwVADJ+Dg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [9, 0]], ""1"": [[12, 0]], ""2"": [[8, 0], [11, 0]], ""32"": [[10, 0]], ""193987812"": [[5, 2]], ""193992059"": [[4, 2]], ""605976925"": [[10, 1]], ""614176388"": [[3, 1]], ""614176451"": [[1, 1]], ""614176457"": [[6, 1]], ""1016847600"": [[3, 2]], ""1212801037"": [[9, 2]], ""1699286380"": [[6, 2]], ""1714334018"": [[10, 2]], ""2208667190"": [[1, 2]], ""3205495832"": [[11, 1]], ""3205495869"": [[2, 1], [7, 1]], ""3205495930"": [[0, 1]], ""3205496734"": [[12, 1]], ""3205496824"": [[8, 1]], ""3766532888"": [[4, 1], [5, 1]], ""3766533048"": [[9, 1]]}",Floral,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CO)CC=C(C)C,58461-27-1/498-16-8,4P///wAEAAAQAAAAAARyIlQlAEwpAnwcfKgYZpygDA==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""3"": [[5, 0]], ""193988868"": [[6, 2]], ""614176388"": [[3, 1]], ""614176451"": [[1, 1], [8, 1]], ""679263144"": [[4, 2]], ""1016846415"": [[3, 2]], ""2208667190"": [[1, 2]], ""2794852651"": [[7, 2]], ""3205495869"": [[2, 1], [9, 1], [10, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[5, 1]], ""3210382965"": [[8, 2]], ""3766532888"": [[6, 1]], ""3766532901"": [[4, 1]], ""3766532953"": [[7, 1]]}",Floral,Aromatic,Vegetation,Beverage,Waxy,Nature,Resinous,Herbaceous,Woody,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(O)CCC(C)CCO,22460-95-3,4P///wAEAAARAAAAAARyeAEChjwWkKAkVgiMEBhNAQw=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""3"": [[4, 0], [11, 0]], ""193989320"": [[9, 2]], ""193992059"": [[6, 2]], ""193992243"": [[5, 2]], ""614176388"": [[7, 1]], ""614176407"": [[3, 1]], ""614176451"": [[1, 1]], ""2110141918"": [[7, 2]], ""2208650687"": [[1, 2]], ""2602707434"": [[10, 2]], ""2949327631"": [[3, 2]], ""3205495869"": [[2, 1], [8, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[4, 1], [11, 1]], ""3766532888"": [[5, 1], [6, 1], [9, 1]], ""3766532901"": [[10, 1]]}",Floral,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
