standardized_smiles,CAS-Id,fcfp_compact,fcfp_environments,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27
C=CC1(C)OC(C)(C)CCC1O,14009-71-3,4P///wAEAAASAAAAAAIAcjIAQhKRA5JAhMg2QjxhAAwM,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""2"": [[4, 0]], ""3"": [[11, 0]], ""193992243"": [[9, 2]], ""215384196"": [[5, 2]], ""614176407"": [[10, 1]], ""1830019160"": [[1, 2]], ""2407446268"": [[8, 2]], ""2784146519"": [[4, 2]], ""2932815858"": [[10, 2]], ""3069371988"": [[2, 2]], ""3205495869"": [[3, 1], [6, 1], [7, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[11, 1]], ""3208849897"": [[5, 1], [2, 1]], ""3766532888"": [[8, 1], [9, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[4, 1]]}",Citrus,Green,,,,,,,,,,,,,,,,,,,,,,,,,
C=CC1(OC(C)=O)CCCCC1C(C)CC,37172-02-4,4P///wAEAAAVAAAAAAJ0NCAglQC0SF4wLOIi7jZCPMxkCA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0]], ""2"": [[3, 0], [6, 0]], ""193992059"": [[10, 2]], ""614173298"": [[4, 1]], ""614176388"": [[12, 1], [11, 1]], ""671173024"": [[14, 2]], ""1830019160"": [[1, 2]], ""2407446268"": [[7, 2]], ""2824030313"": [[12, 2]], ""3123212800"": [[2, 2]], ""3205495869"": [[5, 1], [13, 1], [15, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[6, 1]], ""3208849897"": [[2, 1]], ""3279977760"": [[11, 2]], ""3515543488"": [[4, 2]], ""3681271795"": [[3, 2]], ""3766532888"": [[7, 1], [8, 1], [9, 1], [10, 1], [14, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4203103696"": [[8, 2], [9, 2]]}",Woody,Ambrette,Amber,Dry,,,,,,,,,,,,,,,,,,,,,,,
C=CC=C(C)CC(C)(O)C=C,20053-88-7,4P///wAEAAAPAAAAAARyeELoZQCEJgEBqF4geMQM,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [9, 0], [10, 0]], ""3"": [[8, 0]], ""25354056"": [[6, 2]], ""471482524"": [[1, 2]], ""614176451"": [[3, 1]], ""684894722"": [[5, 2]], ""1830020369"": [[9, 2]], ""2059618198"": [[3, 2]], ""2794908075"": [[2, 2]], ""3205495869"": [[4, 1], [7, 1]], ""3205495930"": [[0, 1], [10, 1]], ""3205496825"": [[8, 1]], ""3208849902"": [[6, 1]], ""3766532888"": [[5, 1]], ""3766532953"": [[1, 1], [2, 1], [9, 1]]}",Sweet,Spices,Ginger,Tropical,Fennel,Floral,,,,,,,,,,,,,,,,,,,,,
C=CC=CC,504-60-9,4P///wAEAAAHAAAAAHh4QoEC2LkCmQA=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0]], ""471482524"": [[1, 2]], ""2603114026"": [[3, 2]], ""3205495869"": [[4, 1]], ""3205495930"": [[0, 1]], ""3766532953"": [[1, 1], [2, 1], [3, 1]], ""4203545021"": [[2, 2]]}",Acrid,Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
C=CC=CC#CCCCCC,166432-52-6,4P///wAEAAAOAAAAAHh4QkzlAQgalBUAwCqACQBG,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""471482524"": [[1, 2]], ""2602795547"": [[9, 2]], ""3205495869"": [[10, 1]], ""3205495930"": [[0, 1]], ""3766532769"": [[4, 1], [5, 1]], ""3766532888"": [[6, 1], [7, 1], [8, 1], [9, 1]], ""3766532953"": [[1, 1], [2, 1], [3, 1]], ""4203092418"": [[6, 2]], ""4203103696"": [[7, 2], [8, 2]], ""4203545021"": [[2, 2]], ""4203563203"": [[3, 2]], ""4204533724"": [[4, 2]], ""4204918530"": [[5, 2]]}",Violet,Violet Leaves,Fruity,Tropical,Chicken,Green,Floral,,,,,,,,,,,,,,,,,,,,
C=CC=CC=CC=CCCC,116963-97-4,4P///wAEAAAKAAAAAHh4QvCerrrxAYCZAA==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""471482524"": [[1, 2]], ""2602795547"": [[9, 2]], ""3205495869"": [[10, 1]], ""3205495930"": [[0, 1]], ""3766532888"": [[8, 1], [9, 1]], ""3766532953"": [[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1]], ""4203102565"": [[8, 2]], ""4203358485"": [[7, 2]], ""4203545021"": [[2, 2], [3, 2], [4, 2], [5, 2], [6, 2]]}",Woody,Earthy,Leafy,Galbanum,Musty,,,,,,,,,,,,,,,,,,,,,,
C=CC=CC=CCC,33580-05-1,4P///wAEAAAJAAAAAHh4QvCdAEEAJQGAmQA=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0]], ""471482524"": [[1, 2]], ""2602796622"": [[6, 2]], ""3205495869"": [[7, 1]], ""3205495930"": [[0, 1]], ""3766532888"": [[6, 1]], ""3766532953"": [[1, 1], [2, 1], [3, 1], [4, 1], [5, 1]], ""4203358485"": [[5, 2]], ""4203545021"": [[2, 2], [3, 2], [4, 2]]}",Green,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,
C=CC=CC=CCCC(=O)CC,1009814-14-5,4P///wAEAAAPAAAAAAJ0eEKOYJ6QHC0CnIACcQAO,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [10, 0], [11, 0]], ""2"": [[9, 0]], ""193987812"": [[7, 2]], ""471482524"": [[1, 2]], ""614176457"": [[8, 1]], ""671185755"": [[10, 2]], ""3021488558"": [[8, 2]], ""3205495869"": [[11, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[9, 1]], ""3766532888"": [[6, 1], [7, 1], [10, 1]], ""3766532953"": [[1, 1], [2, 1], [3, 1], [4, 1], [5, 1]], ""4203102565"": [[6, 2]], ""4203358485"": [[5, 2]], ""4203545021"": [[2, 2], [3, 2], [4, 2]]}",Balsamic,Floral,,,,,,,,,,,,,,,,,,,,,,,,,
C=CC=CC=CCCCCC,16356-11-9,4P///wAEAAALAAAAAHh4QvCeriSU8QGAmQA=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""471482524"": [[1, 2]], ""2602795547"": [[9, 2]], ""3205495869"": [[10, 1]], ""3205495930"": [[0, 1]], ""3766532888"": [[6, 1], [7, 1], [8, 1], [9, 1]], ""3766532953"": [[1, 1], [2, 1], [3, 1], [4, 1], [5, 1]], ""4203102565"": [[6, 2]], ""4203103696"": [[7, 2], [8, 2]], ""4203358485"": [[5, 2]], ""4203545021"": [[2, 2], [3, 2], [4, 2]]}",Fresh,Resin,Diffusive,Powerful,Citrus,Vegetable,Pineapple,Galbanum,Bell Pepper,Cucumber,Waxy,Green,Melon,,,,,,,,,,,,,,
C=CC=CC=O,764-40-9,4P///wAEAAAKAAAAAAJufkIBAb5tBBpBAA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0]], ""2"": [[5, 0]], ""471425373"": [[4, 2]], ""471482524"": [[1, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3766532953"": [[1, 1], [2, 1], [3, 1]], ""3766532967"": [[4, 1]], ""4203544634"": [[3, 2]], ""4203545021"": [[2, 2]]}",Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CC=O,107-02-8,4P///wAEAAAHAAAAAALuiQHtBRpBAA4=,"{""0"": [[0, 0], [1, 0], [2, 0]], ""2"": [[3, 0]], ""471425373"": [[2, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[3, 1]], ""3766532953"": [[1, 1]], ""3766532967"": [[2, 1]]}",Almond,Cherry,Fruity,,,,,,,,,,,,,,,,,,,,,,,,
C=CCC(C)C(=O)O,1575-74-2,4P///wAEAAAQAAAAAAAAKg44eO7UvEkBeixmgIjC,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0]], ""1"": [[7, 0]], ""2"": [[6, 0]], ""32"": [[5, 0]], ""194011580"": [[2, 2]], ""253142733"": [[5, 2]], ""471558386"": [[1, 2]], ""605976925"": [[5, 1]], ""614176484"": [[3, 1]], ""2782146191"": [[3, 2]], ""3205495832"": [[6, 1]], ""3205495869"": [[4, 1]], ""3205495930"": [[0, 1]], ""3205496734"": [[7, 1]], ""3766532888"": [[2, 1]], ""3766532953"": [[1, 1]]}",Cheese,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCC(C)C(=O)OCC,53399-81-8,4P///wAEAAARAAAAAAJ0eO4i/rUBIqp6GgoaPNBqDg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [8, 0], [9, 0]], ""2"": [[6, 0], [7, 0]], ""193988868"": [[2, 2]], ""324486082"": [[5, 2]], ""471558386"": [[1, 2]], ""614173298"": [[5, 1]], ""614176388"": [[3, 1]], ""1051266860"": [[7, 2]], ""2558574980"": [[8, 2]], ""2920571610"": [[3, 2]], ""3205495869"": [[4, 1], [9, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[6, 1]], ""3766532888"": [[2, 1]], ""3766532902"": [[8, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[7, 1]]}",Sweet,Banana,Spices,Pungent,Cool,Estery,Pineapple,Fruity,Tropical,Green,,,,,,,,,,,,,,,,,
C=CCC(C)O,625-31-0,4P///wAEAAALAAAAAARyeO7a2QJcooB9AAw=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0]], ""3"": [[5, 0]], ""193989318"": [[2, 2]], ""471558386"": [[1, 2]], ""614176407"": [[3, 1]], ""3205495869"": [[4, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[5, 1]], ""3367842144"": [[3, 2]], ""3766532888"": [[2, 1]], ""3766532953"": [[1, 1]]}",Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCC(C=CCCCCC)OC(C)=O,64677-48-1,4P///wAEAAAUAAAAAAJ0eAx2aEQietSUrC41AEIqEMxuDg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [12, 0], [13, 0]], ""2"": [[11, 0], [14, 0]], ""193988737"": [[2, 2]], ""195735741"": [[4, 2]], ""471558386"": [[1, 2]], ""614173298"": [[12, 1]], ""614176394"": [[3, 1]], ""1924488016"": [[11, 2]], ""2301473063"": [[3, 2]], ""2602795547"": [[9, 2]], ""3205495869"": [[10, 1], [13, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[14, 1]], ""3515543488"": [[12, 2]], ""3766532888"": [[2, 1], [6, 1], [7, 1], [8, 1], [9, 1]], ""3766532953"": [[1, 1], [4, 1], [5, 1]], ""3768571706"": [[11, 1]], ""4203102565"": [[6, 2]], ""4203103696"": [[7, 2], [8, 2]], ""4203358485"": [[5, 2]]}",Green,Galbanum,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCC(C=O)c1ccccc1,24401-36-3,4P///wAEAAASAAAAAAIC6u4yIDkAyASCYuA8gBryLA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0]], ""2"": [[5, 0]], ""4"": [[6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""193992209"": [[2, 2]], ""471558386"": [[1, 2]], ""594405804"": [[6, 1]], ""614176392"": [[3, 1]], ""672767737"": [[4, 2]], ""1230563926"": [[8, 2], [9, 2], [10, 2]], ""1279427852"": [[3, 2]], ""2627997981"": [[6, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3532240404"": [[7, 2], [11, 2]], ""3764344801"": [[7, 1], [8, 1], [9, 1], [10, 1], [11, 1]], ""3766532888"": [[2, 1]], ""3766532953"": [[1, 1]], ""3766532967"": [[4, 1]]}",Fruity,Floral,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCC(CC)C(=O)CC,131671-56-2,4P///wAEAAAPAAAAAAIwQnjuIm0AjQGInIACXQAIDg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [8, 0], [9, 0]], ""2"": [[7, 0]], ""193988868"": [[2, 2]], ""471558386"": [[1, 2]], ""614176388"": [[3, 1]], ""614176457"": [[6, 1]], ""671173024"": [[4, 2]], ""671185755"": [[8, 2]], ""1016840179"": [[3, 2]], ""1512111131"": [[6, 2]], ""3205495869"": [[5, 1], [9, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[7, 1]], ""3766532888"": [[2, 1], [4, 1], [8, 1]], ""3766532953"": [[1, 1]]}",Fishy,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCC(O)C=CCCCCC,64677-46-9,4P///wAEAAAQAAAAAARyeO5EOGTUlLRAXKKAfQAM,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""3"": [[4, 0]], ""193989318"": [[2, 2]], ""195737206"": [[5, 2]], ""471558386"": [[1, 2]], ""614176407"": [[3, 1]], ""2068421938"": [[3, 2]], ""2602795547"": [[10, 2]], ""3205495869"": [[11, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[4, 1]], ""3766532888"": [[2, 1], [7, 1], [8, 1], [9, 1], [10, 1]], ""3766532953"": [[1, 1], [5, 1], [6, 1]], ""4203102565"": [[7, 2]], ""4203103696"": [[8, 2], [9, 2]], ""4203358485"": [[6, 2]]}",Earthy,Mushroom,Green,Musty,,,,,,,,,,,,,,,,,,,,,,,
C=CCC1(O)C(C)(C)CCCCC1(C)C,105463-44-3,4P///wAEAAAPAAAAAARsBBxa7tbiOggUZQKAfQAM,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0]], ""3"": [[4, 0]], ""471558386"": [[1, 2]], ""1663744350"": [[5, 2], [12, 2]], ""2360367162"": [[3, 2]], ""2407443532"": [[8, 2], [11, 2]], ""2407448062"": [[2, 2]], ""3205495869"": [[6, 1], [7, 1], [13, 1], [14, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[4, 1]], ""3208849902"": [[3, 1]], ""3208849907"": [[5, 1], [12, 1]], ""3766532888"": [[2, 1], [8, 1], [9, 1], [10, 1], [11, 1]], ""3766532953"": [[1, 1]], ""4203103696"": [[9, 2], [10, 2]]}",Woody,Earthy,Patchouli,Camphor,Musty,Root,,,,,,,,,,,,,,,,,,,,,
C=CCC1=C(C)CCC1=O,3569-36-6,4P///wAEAAAQAAAAAAJ0eNIa6pw4uQEKSlCATO4O,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0]], ""2"": [[9, 0]], ""193987812"": [[7, 2]], ""193987944"": [[6, 2]], ""194001335"": [[2, 2]], ""471558386"": [[1, 2]], ""614176451"": [[4, 1], [3, 1]], ""614176457"": [[8, 1]], ""1054846848"": [[4, 2]], ""1512361428"": [[8, 2]], ""3205495869"": [[5, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[9, 1]], ""3766532888"": [[2, 1], [6, 1], [7, 1]], ""3766532953"": [[1, 1]], ""4253625071"": [[3, 2]]}",Green,Lovage,Fenugreek,,,,,,,,,,,,,,,,,,,,,,,,
C=CCC=CCCC(=O)OC,189440-77-5,4P///wAEAAAQAAAAAALukFxEnl6IXQCgqEI8wngO,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [10, 0]], ""2"": [[8, 0], [9, 0]], ""193923546"": [[6, 2]], ""471558386"": [[1, 2]], ""614173298"": [[7, 1]], ""2123333315"": [[7, 2]], ""3205495930"": [[0, 1]], ""3205496003"": [[10, 1]], ""3205496824"": [[8, 1]], ""3677801877"": [[9, 2]], ""3766532888"": [[2, 1], [5, 1], [6, 1]], ""3766532953"": [[1, 1], [3, 1], [4, 1]], ""3768571706"": [[9, 1]], ""4203102565"": [[5, 2]], ""4203147195"": [[2, 2]], ""4203358485"": [[3, 2], [4, 2]]}",Pear,Green,Fruity,,,,,,,,,,,,,,,,,,,,,,,,
C=CCC=CCCC(=O)OCC,72276-09-6/69925-33-3,4P///wAEAAASAAAAAAJ0eO5EnjyqXQCgqBoKGjzCeA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [10, 0], [11, 0]], ""2"": [[8, 0], [9, 0]], ""193923546"": [[6, 2]], ""471558386"": [[1, 2]], ""614173298"": [[7, 1]], ""1051266860"": [[9, 2]], ""2123333315"": [[7, 2]], ""2558574980"": [[10, 2]], ""3205495869"": [[11, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[8, 1]], ""3766532888"": [[2, 1], [5, 1], [6, 1]], ""3766532902"": [[10, 1]], ""3766532953"": [[1, 1], [3, 1], [4, 1]], ""3768571706"": [[9, 1]], ""4203102565"": [[5, 2]], ""4203147195"": [[2, 2]], ""4203358485"": [[3, 2], [4, 2]]}",Sweet,Passion fruit,Juicy,Ether,Pineapple,Fruity,Pear,Mango,,,,,,,,,,,,,,,,,,,
C=CCCC(=O)C(=C)C1CCCCC1,313973-37-4,4P///wAEAAARAAAAAALuqiYa5CqoBrkAAHwKnIB5AA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0]], ""2"": [[5, 0]], ""193987812"": [[3, 2]], ""193992059"": [[9, 2], [13, 2]], ""471558386"": [[1, 2]], ""614176388"": [[8, 1]], ""614176451"": [[6, 1]], ""614176457"": [[4, 1]], ""1016846544"": [[8, 2]], ""1512361428"": [[4, 2]], ""3205495930"": [[0, 1], [7, 1]], ""3205496824"": [[5, 1]], ""3766532888"": [[2, 1], [3, 1], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]], ""3766532953"": [[1, 1]], ""4112583299"": [[6, 2]], ""4203102565"": [[2, 2]], ""4203103696"": [[10, 2], [11, 2], [12, 2]]}",Sweet,Metallic,Pineapple,Herbal,Fruity,Galbanum,Tropical,Orchid,Green,Weed,,,,,,,,,,,,,,,,,
C=CCCC(=O)C1=CCCC(C)(C)C1,56973-85-4,4P///wAEAAATAAAAAAJ0HFrSGnBy3Dwy1QACBpyAqJIO,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0]], ""2"": [[5, 0]], ""193987812"": [[3, 2]], ""471558386"": [[1, 2]], ""595278766"": [[10, 2]], ""614176451"": [[6, 1]], ""614176457"": [[4, 1]], ""684894733"": [[13, 2]], ""964870853"": [[6, 2]], ""1512361428"": [[4, 2]], ""2407443532"": [[9, 2]], ""2794852651"": [[7, 2]], ""3205495869"": [[11, 1], [12, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3208849907"": [[10, 1]], ""3766532888"": [[2, 1], [3, 1], [8, 1], [9, 1], [13, 1]], ""3766532953"": [[1, 1], [7, 1]], ""4203102565"": [[2, 2], [8, 2]]}",Earthy,Hyacinth,Fresh,Narcissus,Pineapple,Fruity,Musty,Galbanum,Green,Weed,,,,,,,,,,,,,,,,,
C=CCCC(=O)C1=CCCC2(CCCC2)C1,224031-70-3,4P///wAEAAATAAAAAAIQgFrSGnBy1AY8MtUAAgacgHkADg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0]], ""2"": [[5, 0]], ""193987812"": [[3, 2]], ""471558386"": [[1, 2]], ""614176451"": [[6, 1]], ""614176457"": [[4, 1]], ""684894733"": [[15, 2]], ""964870853"": [[6, 2]], ""1512361428"": [[4, 2]], ""2152165387"": [[10, 2]], ""2407443532"": [[9, 2], [11, 2], [14, 2]], ""2794852651"": [[7, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3208849907"": [[10, 1]], ""3766532888"": [[2, 1], [3, 1], [8, 1], [9, 1], [11, 1], [12, 1], [13, 1], [15, 1], [14, 1]], ""3766532953"": [[1, 1], [7, 1]], ""4203102565"": [[2, 2], [8, 2]], ""4203103696"": [[12, 2], [13, 2]]}",Galbanum,Green,Fruity,Pineapple,,,,,,,,,,,,,,,,,,,,,,,
C=CCCC(=O)C1CCCC(C)(C)C1,56973-87-6,4P///wAEAAAUAAAAAAIwQhxa0hrkKqhEQQCInICIHogIDg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0]], ""2"": [[5, 0]], ""193987812"": [[3, 2]], ""193992059"": [[7, 2]], ""471558386"": [[1, 2]], ""595278766"": [[10, 2]], ""614176388"": [[6, 1]], ""614176457"": [[4, 1]], ""684899230"": [[13, 2]], ""1016840179"": [[6, 2]], ""1512111131"": [[4, 2]], ""2407443532"": [[9, 2]], ""3205495869"": [[11, 1], [12, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3208849907"": [[10, 1]], ""3766532888"": [[2, 1], [3, 1], [7, 1], [8, 1], [9, 1], [13, 1]], ""3766532953"": [[1, 1]], ""4203102565"": [[2, 2]], ""4203103696"": [[8, 2]]}",Balsamic,Fir needle,Pineapple,Herbal,Fruity,Galbanum,Green,,,,,,,,,,,,,,,,,,,,
C=CCCC(=O)C=CC1C(C)=CCCC1(C)C,79-78-7,4P///wAEAAAVAAAAAAJ0HFrSGnByilYSIkEAfAqcQjzYYg4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0]], ""2"": [[5, 0]], ""193987812"": [[3, 2]], ""195723745"": [[6, 2]], ""195736378"": [[7, 2]], ""471558386"": [[1, 2]], ""614176388"": [[8, 1]], ""614176451"": [[9, 1]], ""614176457"": [[4, 1]], ""657606059"": [[14, 2]], ""2407443532"": [[13, 2]], ""2794852651"": [[11, 2]], ""2907985367"": [[9, 2]], ""3021553606"": [[4, 2]], ""3205495869"": [[10, 1], [15, 1], [16, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3208849907"": [[14, 1]], ""3280208579"": [[8, 2]], ""3766532888"": [[2, 1], [3, 1], [12, 1], [13, 1]], ""3766532953"": [[1, 1], [6, 1], [7, 1], [11, 1]], ""4203102565"": [[2, 2], [12, 2]]}",Woody,Green,Spices,Orris,Vanilla,Fruity,Tropical,Waxy,Weed,Meaty,Leather,Floral,,,,,,,,,,,,,,,
C=CCCC(=O)O,591-80-0,4P///wAEAAAPAAAAAAAAKg6y7p40RlkEgIgyTj4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0]], ""1"": [[6, 0]], ""2"": [[5, 0]], ""32"": [[4, 0]], ""209048961"": [[3, 2]], ""471558386"": [[1, 2]], ""605976925"": [[4, 1]], ""1714334018"": [[4, 2]], ""3205495832"": [[5, 1]], ""3205495930"": [[0, 1]], ""3205496734"": [[6, 1]], ""3766532888"": [[2, 1]], ""3766532953"": [[1, 1]], ""3766533048"": [[3, 1]], ""4203147232"": [[2, 2]]}",Caramel,Cheese,Buttery,Parmesan cheese,Dairy,Fruity,,,,,,,,,,,,,,,,,,,,,
C=CCCC(=O)OCC,1968-40-7,4P///wAEAAAQAAAAAAJ0eO7kPKpdAKCoGgoaPHkADg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [7, 0], [8, 0]], ""2"": [[5, 0], [6, 0]], ""193923546"": [[3, 2]], ""471558386"": [[1, 2]], ""614173298"": [[4, 1]], ""1051266860"": [[6, 2]], ""2123333315"": [[4, 2]], ""2558574980"": [[7, 2]], ""3205495869"": [[8, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3766532888"": [[2, 1], [3, 1]], ""3766532902"": [[7, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[6, 1]], ""4203102565"": [[2, 2]]}",Caramel,Warm,Ether,Herbal,Fruity,Green,,,,,,,,,,,,,,,,,,,,,
C=CCCC(=O)c1ccccc1,3240-29-7,4P///wAEAAARAAAAAAIC6hDcuCqMzkI+BQGAHQAcDg4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0]], ""2"": [[5, 0]], ""4"": [[6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""193868342"": [[3, 2]], ""471558386"": [[1, 2]], ""594405804"": [[6, 1]], ""614173680"": [[4, 1]], ""1230563926"": [[8, 2], [9, 2], [10, 2]], ""1999605071"": [[4, 2]], ""2617347203"": [[6, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3532240404"": [[7, 2], [11, 2]], ""3764344801"": [[7, 1], [8, 1], [9, 1], [10, 1], [11, 1]], ""3766532888"": [[2, 1], [3, 1]], ""3766532953"": [[1, 1]], ""4203102565"": [[2, 2]]}",Balsamic,Lavender,Opoponax,Labdanum,Herbal,Myrrh,,,,,,,,,,,,,,,,,,,,,
C=CCCC(C)=O,109-49-9,4P///wAEAAAMAAAAAAJ0eNIa5AxxA5yAeQAO,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0]], ""2"": [[6, 0]], ""193987812"": [[3, 2]], ""471558386"": [[1, 2]], ""614176457"": [[4, 1]], ""1699286380"": [[4, 2]], ""3205495869"": [[5, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[6, 1]], ""3766532888"": [[2, 1], [3, 1]], ""3766532953"": [[1, 1]], ""4203102565"": [[2, 2]]}",Ether,Floral,,,,,,,,,,,,,,,,,,,,,,,,,
